12:28:27.857635 IP amd256.utah.cloudlab.us.40994 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080243 ecr 2617410168], length 0

12:28:27.857671 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.41006: Flags [P.], seq 1:124, ack 59, win 509, options [nop,nop,TS val 2617410168 ecr 3589080243], length 123

12:28:27.857683 IP amd256.utah.cloudlab.us.41006 > amd261.utah.cloudlab.us.8000: Flags [.], ack 124, win 502, options [nop,nop,TS val 3589080243 ecr 2617410168], length 0

12:28:28.091063 IP amd256.utah.cloudlab.us.40834 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080477 ecr 2617410161], length 59

12:28:28.091247 IP amd256.utah.cloudlab.us.40848 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080477 ecr 2617410161], length 59

12:28:28.091249 IP amd256.utah.cloudlab.us.40854 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080477 ecr 2617410161], length 59

12:28:28.091353 IP amd256.utah.cloudlab.us.40870 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080477 ecr 2617410161], length 59

12:28:28.091373 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40834: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410401 ecr 3589080477], length 123

12:28:28.091395 IP amd256.utah.cloudlab.us.40834 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080477 ecr 2617410401], length 0

12:28:28.091439 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40854: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410401 ecr 3589080477], length 123

12:28:28.091450 IP amd256.utah.cloudlab.us.40854 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080477 ecr 2617410401], length 0

12:28:28.091489 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40870: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410401 ecr 3589080477], length 123

12:28:28.091511 IP amd256.utah.cloudlab.us.40870 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080477 ecr 2617410401], length 0

12:28:28.091514 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40848: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410401 ecr 3589080477], length 123

12:28:28.091534 IP amd256.utah.cloudlab.us.40848 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080477 ecr 2617410401], length 0

12:28:28.091544 IP amd256.utah.cloudlab.us.40872 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080477 ecr 2617410161], length 59

12:28:28.091749 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40872: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410402 ecr 3589080477], length 123

12:28:28.091771 IP amd256.utah.cloudlab.us.40872 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080477 ecr 2617410402], length 0

12:28:28.091875 IP amd256.utah.cloudlab.us.40878 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080477 ecr 2617410162], length 59

12:28:28.091928 IP amd256.utah.cloudlab.us.40876 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080477 ecr 2617410162], length 59

12:28:28.091958 IP amd256.utah.cloudlab.us.40890 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080477 ecr 2617410162], length 59

12:28:28.091989 IP amd256.utah.cloudlab.us.40896 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080477 ecr 2617410162], length 59

12:28:28.092013 IP amd256.utah.cloudlab.us.40884 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080477 ecr 2617410162], length 59

12:28:28.092043 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40878: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410402 ecr 3589080477], length 123

12:28:28.092066 IP amd256.utah.cloudlab.us.40878 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080478 ecr 2617410402], length 0

12:28:28.092122 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40876: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410402 ecr 3589080477], length 123

12:28:28.092143 IP amd256.utah.cloudlab.us.40876 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080478 ecr 2617410402], length 0

12:28:28.092149 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40890: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410402 ecr 3589080477], length 123

12:28:28.092168 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40884: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410402 ecr 3589080477], length 123

12:28:28.092173 IP amd256.utah.cloudlab.us.40890 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080478 ecr 2617410402], length 0

12:28:28.092180 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40896: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410402 ecr 3589080477], length 123

12:28:28.092187 IP amd256.utah.cloudlab.us.40884 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080478 ecr 2617410402], length 0

12:28:28.092196 IP amd256.utah.cloudlab.us.40896 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080478 ecr 2617410402], length 0

12:28:28.092246 IP amd256.utah.cloudlab.us.40888 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080478 ecr 2617410162], length 59

12:28:28.092447 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40888: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410402 ecr 3589080478], length 123

12:28:28.092468 IP amd256.utah.cloudlab.us.40888 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080478 ecr 2617410402], length 0

